nombre,poblacion_2024,airbnb_total,airbnb_vivienda_completa,airbnb_por_1000_hab,vivienda_completa_por_1000_hab
MARXALENES,11158,49,31,4.391468005018821,2.77827567664456
SANT MARCEL.LI,10330,41,17,3.969022265246854,1.6456921587608906
EXPOSICIO,6941,27,18,3.8899294049848723,2.5932862699899153
LA FONTETA S.LLUIS,3186,12,9,3.766478342749529,2.824858757062147
CAMPANAR,11633,42,31,3.610418636637153,2.664832803232184
L'HORT DE SENABRE,17225,56,17,3.251088534107402,0.9869375907111755
FAVARA,3709,12,5,3.2353734160150984,1.3480722566729577
ELS ORRIOLS,18056,58,29,3.212228622064688,1.606114311032344
BENIMACLET,23265,74,40,3.1807436062755214,1.7193208682570384
BENICALAP,43916,128,84,2.914655250933601,1.9127425084251752
CIUTAT FALLERA,6236,18,11,2.886465683130212,1.7639512508017958
BENIMAMET,14012,39,20,2.7833285755067085,1.4273479874393378
MALILLA,24924,68,45,2.728294013801958,1.805488685604237
SANT LLORENS,11414,31,22,2.7159628526371122,1.927457508323112
EL PALMAR,750,2,0,2.6666666666666665,0
TRES FORQUES,10164,27,11,2.656434474616293,1.0822510822510822
LA CREU COBERTA,6099,16,5,2.623380882111822,0.8198065256599443
TORREFIEL,27233,70,31,2.57041089854221,1.1383248264972643
JAUME ROIG,6532,16,12,2.449479485609308,1.837109614206981
SAFRANAR,10452,25,20,2.391886720244929,1.9135093761959434
LA FONTSANTA,3866,9,3,2.3279875840662183,0.7759958613554061
POBLE NOU,960,2,0,2.0833333333333335,0
EL CALVARI,5195,10,6,1.9249278152069298,1.1549566891241578
CARPESA,1220,2,2,1.639344262295082,1.639344262295082
SANT PAU,18679,30,24,1.606081696022271,1.2848653568178168
EL FORN D'ALCEDO,1368,2,2,1.461988304093567,1.461988304093567
BORBOTO,739,1,1,1.3531799729364007,1.3531799729364007
CAMI DE VERA,5276,7,4,1.326762699014405,0.7581501137225171
LA LLUM,4998,6,4,1.2004801920768307,0.8003201280512205
LA TORRE,4836,5,2,1.0339123242349049,0.41356492969396197
VARA DE QUART,10199,10,6,0.9804882831650162,0.5882929698990097
MASSARROJOS,2646,2,1,0.7558578987150416,0.3779289493575208
SANT ISIDRE,10444,7,2,0.6702412868632708,0.19149751053236308
CASTELLAR-L'OLIVERAL,6913,4,4,0.5786199913207002,0.5786199913207002
FAITANAR,2065,1,0,0.48426150121065376,0
RAFALELL-VISTABELLA,59,0,0,0,0
BENIFARAIG,1008,0,0,0,0
LES CASES DE BARCENA,377,0,0,0,0
