coddistrit,codbarrio,coddistbar,nombre,area_m2,area_km2,airbnb_total,airbnb_vivienda_completa,airbnb_habitacion_privada,precio_medio_airbnb,disponibilidad_media,resenas_media,host_listings_medio,airbnb_por_km2,vivienda_completa_por_km2,poblacion_2024,archivo,airbnb_por_1000_hab,vivienda_completa_por_1000_hab,densidad_poblacion
15,2,152,TORREFIEL,700270.6128917969,0.7002706128917968,70,31,39,67.23809523809524,211.82857142857142,27.228571428571453,5.028571428571429,99.96135595485303,44.26860049429206,27233,Distrito_15_Barrio_2.xlsx,2.57041089854221,1.1383248264972643,38889.251524550185
5,4,054,TORMOS,279948.99563785933,0.27994899563785935,56,36,20,84.82,182.25,34.41071428571427,9.160714285714286,200.0364383247916,128.59485320879458,8870,Distrito_05_Barrio_4.xlsx,6.313416009019166,4.058624577226606,31684.342998944667
5,1,051,MARXALENES,390362.4699823598,0.3903624699823598,49,31,17,83.80952380952381,147.6122448979592,45.26530612244901,3.632653061224491,125.52436201721511,79.41337188844221,11158,Distrito_05_Barrio_1.xlsx,4.391468005018821,2.77827567664456,28583.690436491557
4,3,043,EL CALVARI,93681.62331591742,0.09368162331591741,10,6,4,72,187.9,33.6,1.6,106.74452092143565,64.0467125528614,5195,Distrito_04_Barrio_3.xlsx,1.9249278152069298,1.1549566891241578,55453.77861868582
5,2,052,MORVEDRE,428181.3657313327,0.4281813657313327,133,110,23,128.92307692307693,208.16541353383457,41.09022556390973,13.195488721804512,310.6160394739186,256.9004837754214,10301,Distrito_05_Barrio_2.xlsx,12.911367828366178,10.6785748956412,24057.562576096505
5,3,053,TRINITAT,595674.0651732377,0.5956740651732377,46,34,12,100.6046511627907,185.69565217391306,31.391304347826082,25.8695652173913,77.223439275675,57.078194247238045,8082,Distrito_05_Barrio_3.xlsx,5.691660480079189,4.206879485275922,13567.822526652291
1,3,013,EL CARME,384064.65510746243,0.3840646551074624,273,255,18,207.58620689655152,173.3003663003663,81.80219780219767,9.15018315018315,710.8178177021101,663.9507088426303,7161,Distrito_01_Barrio_3.xlsx,38.12316715542522,35.609551738583995,18645.298141263043
3,1,031,EL BOTANIC,370112.97129240143,0.37011297129240145,141,120,21,196.1287878787878,195.79432624113474,73.9929078014185,13.97872340425531,380.9647619418487,324.22532931221167,6883,Distrito_03_Barrio_1.xlsx,20.485253523173036,17.434258317594075,18597.024513799606
6,1,061,EXPOSICIO,381606.8171347477,0.3816068171347477,27,18,9,112.08333333333334,93.48148148148148,102.18518518518516,7.814814814814815,70.75345299836752,47.16896866557835,6941,Distrito_06_Barrio_1.xlsx,3.8899294049848723,2.5932862699899153,18188.87841709885
1,2,012,LA XEREA,311647.88954017474,0.31164788954017475,138,89,48,132.5496183206107,183.13043478260866,96.59420289855063,18.369565217391305,442.807426687901,285.5787027190086,4137,Distrito_01_Barrio_2.xlsx,33.35750543872371,21.51317379743776,13274.59655223077
1,5,015,EL MERCAT,172793.9725686149,0.1727939725686149,291,252,38,150.5467289719626,196.27835051546393,81.33333333333324,19.302405498281775,1684.0865203469211,1458.3842031870245,4034,Distrito_01_Barrio_5.xlsx,72.13683688646505,62.46901338621715,23345.721728795463
1,4,014,EL PILAR,161605.10750378703,0.16160510750378704,144,131,12,127.96842105263158,178.22222222222226,79.5972222222222,13,891.0609461809586,810.6179440951776,5352,Distrito_01_Barrio_4.xlsx,26.90582959641256,24.476831091180866,33117.765166392295
2,2,022,EL PLA DEL REMEI,386915.32038423524,0.38691532038423526,50,31,19,194.20408163265307,214.6,73.06000000000004,8.379999999999999,129.22724266991116,80.12089045534493,7240,Distrito_02_Barrio_2.xlsx,6.906077348066298,4.281767955801104,18712.10473860314
13,1,131,L'ILLA PERDUDA,231522.07974505718,0.23152207974505717,64,32,32,80.17647058823529,154.390625,30.4375,8.484375,276.4315181967708,138.2157590983854,8453,Distrito_13_Barrio_1.xlsx,7.571276469892346,3.785638234946173,36510.556614332876
3,4,034,ARRANCAPINS,874368.7348052277,0.8743687348052277,209,148,60,101.6875,178.97607655502392,59.80382775119632,15.751196172248811,239.02958978348687,169.2649726696462,23354,Distrito_03_Barrio_4.xlsx,8.949216408324057,6.337244155176843,26709.555214371063
3,2,032,LA ROQUETA,230567.01694205485,0.23056701694205484,173,123,49,138.2420382165605,186.6242774566474,76.50289017341044,12.786127167630056,750.324145640821,533.4674561492543,5018,Distrito_03_Barrio_2.xlsx,34.475886807493026,24.511757672379435,21763.73735737364
9,1,091,LA RAIOSA,375446.3124778043,0.3754463124778043,144,110,34,110.5275590551181,215.31944444444446,31.4375,15.347222222222218,383.5435193108016,292.98463280686235,15968,Distrito_09_Barrio_1.xlsx,9.01803607214429,6.88877755511022,42530.71469690889
8,4,084,SAFRANAR,441263.43054364156,0.44126343054364153,25,20,5,164.625,246.52,13.64,9.72,56.65549934468786,45.32439947575029,10452,Distrito_08_Barrio_4.xlsx,2.391886720244929,1.9135093761959434,23686.5311660271
15,3,153,SANT LLORENS,1532591.2397553106,1.5325912397553105,31,22,9,86.03448275862068,174.80645161290323,115.22580645161288,6.967741935483871,20.227180735386025,14.354773425112661,11414,Distrito_15_Barrio_3.xlsx,2.7159628526371122,1.927457508323112,7447.517448828906
10,2,102,EN CORTS,364024.3523460367,0.3640243523460367,230,165,62,88.01886792452831,167.07826086956524,46.530434782608765,14.621739130434788,631.8258614230431,453.2663788469657,12222,Distrito_10_Barrio_2.xlsx,18.81852397316315,13.500245459008346,33574.67686222797
10,3,103,MALILLA,2507152.123675018,2.5071521236750183,68,45,23,99.12068965517241,188.5,20,11.5,27.12240687666158,17.94865160955546,24924,Distrito_10_Barrio_3.xlsx,2.728294013801958,1.805488685604237,9941.159838145782
6,3,063,JAUME ROIG,187100.23136619513,0.18710023136619514,16,12,4,120.07142857142857,176.875,17.0625,7.375,85.51566122162929,64.13674591622195,6532,Distrito_06_Barrio_3.xlsx,2.449479485609308,1.837109614206981,34911.768693730155
14,1,141,BENIMACLET,751257.2569342173,0.7512572569342173,74,40,34,90.87096774193549,180.55405405405403,25.72972972972974,9.25675675675676,98.50154433380695,53.244078018274024,23265,Distrito_14_Barrio_1.xlsx,3.1807436062755214,1.7193208682570384,30968.086877378628
6,4,064,CIUTAT UNIVERSITARIA,273850.4662693986,0.2738504662693986,15,10,5,89.21428571428571,134.2,4.2,28.4,54.77441833253572,36.51627888835715,2802,Distrito_06_Barrio_4.xlsx,5.353319057815845,3.5688793718772303,10231.861344517672
16,1,161,BENICALAP,1718922.8359986302,1.7189228359986302,128,84,44,408.9824561403507,195.78125,17.453125,14.2265625,74.46523911332923,48.86781316812231,43916,Distrito_16_Barrio_1.xlsx,2.914655250933601,1.9127425084251752,25548.5581320388
5,5,055,SANT ANTONI,249871.47948870313,0.24987147948870314,45,29,16,338.33333333333337,181.22222222222223,25.733333333333324,20.66666666666666,180.09258236306428,116.05966418953032,9972,Distrito_05_Barrio_5.xlsx,4.512635379061372,2.908142799839551,39908.51625165505
6,2,062,MESTALLA,843726.1675442585,0.8437261675442586,98,61,37,211.45348837209292,166.85714285714283,51.71428571428568,9.459183673469388,116.1514289467137,72.29833842601566,14745,Distrito_06_Barrio_2.xlsx,6.646320786707359,4.136995591726008,17476.049181829523
12,2,122,ALBORS,255654.9789699685,0.2556549789699685,100,67,33,116.4516129032258,169.73,23.33999999999999,11.040000000000003,391.1521708002678,262.0719544361794,9136,Distrito_12_Barrio_2.xlsx,10.945709281961472,7.333625218914185,35735.66232431246
13,3,133,L'AMISTAT,208612.29717740626,0.20861229717740626,76,40,36,81.54285714285714,199.40789473684214,29.60526315789476,12.97368421052632,364.3121763592332,191.7432507153859,7123,Distrito_13_Barrio_3.xlsx,10.669661659413169,5.615611399691142,34144.679371142345
11,4,114,BETERO,267236.9832994618,0.26723698329946177,89,44,45,96.71951219512194,200,18.74157303370788,8.382022471910112,333.03773639843826,164.64786968012677,7935,Distrito_11_Barrio_4.xlsx,11.216131064902331,5.5450535601764335,29692.74649799559
11,2,112,CABANYAL-CANYAMELAR,1349868.9421881519,1.3498689421881518,750,642,108,204.25663716814145,176.1640000000002,58.41733333333358,7.633333333333338,555.6094940478015,475.60172690491805,19429,Distrito_11_Barrio_2.xlsx,38.60208965978692,33.0433887487776,14393.24914647298
13,5,135,LA CARRASCA,1945697.4724345678,1.9456974724345677,62,36,22,118.06122448979593,159.70967741935482,27.43548387096776,8.03225806451613,31.865179905086716,18.50236252553422,3301,Distrito_13_Barrio_5.xlsx,18.782187215995155,10.90578612541654,1696.5638526885684
11,3,113,LA MALVA-ROSA,732988.1537946075,0.7329881537946075,258,193,65,157.9276595744681,195.9418604651162,44.08527131782932,7.13953488372093,351.9838603998706,263.3057560355621,13135,Distrito_11_Barrio_3.xlsx,19.64217738865626,14.693566806242861,17919.79847423372
13,4,134,LA VEGA BAIXA,190570.78441742316,0.19057078441742314,38,25,13,101.25714285714285,190.57894736842104,21.921052631578938,12.68421052631579,199.40097384898945,131.18485121644042,5467,Distrito_13_Barrio_4.xlsx,6.95079568319005,4.572891896835559,28687.503264011193
12,1,121,AIORA,651351.6602006117,0.6513516602006116,349,274,75,164.59874608150452,174.13180515759313,46.29226361031529,14.521489971346721,535.8088745678648,420.66370095012877,24902,Distrito_12_Barrio_1.xlsx,14.014938559151876,11.003132278531846,38231.26817905148
13,2,132,CIUTAT JARDI,363905.82833210623,0.3639058283321062,100,51,49,96.71910112359552,191.87999999999994,38.19999999999997,8.739999999999998,274.7963682206772,140.14614779254538,11922,Distrito_13_Barrio_2.xlsx,8.387854386847843,4.2778057372924,32761.223019269135
