coddistrit,codbarrio,coddistbar,nombre,airbnb_total,airbnb_vivienda_completa,airbnb_habitacion_privada,precio_medio_airbnb,disponibilidad_media,resenas_media,host_listings_medio
10,7,107,CIUTAT DE LES ARTS I DE LES CIENCIES,106,89,17,184.45263157894738,156.17924528301887,48.27358490566043,25.77358490566038
12,2,122,ALBORS,100,67,33,116.4516129032258,169.73,23.33999999999999,11.040000000000003
13,2,132,CIUTAT JARDI,100,51,49,96.71910112359552,191.87999999999994,38.19999999999997,8.739999999999998
6,2,062,MESTALLA,98,61,37,211.45348837209292,166.85714285714283,51.71428571428568,9.459183673469388
12,5,125,PENYA-ROJA,96,76,20,383.8977272727273,193.67708333333331,37.072916666666636,17.9375
11,5,115,NATZARET,92,71,21,432.1818181818176,231.58695652173913,39.46739130434784,10.380434782608699
11,4,114,BETERO,89,44,45,96.71951219512194,200,18.74157303370788,8.382022471910112
13,3,133,L'AMISTAT,76,40,36,81.54285714285714,199.40789473684214,29.60526315789476,12.97368421052632
14,1,141,BENIMACLET,74,40,34,90.87096774193549,180.55405405405403,25.72972972972974,9.25675675675676
10,5,105,NA ROVELLA,73,42,31,218.7049180327869,169.4931506849315,43.34246575342464,9.136986301369864
2,3,023,LA GRAN VIA,71,44,27,139.26153846153844,190.71830985915494,59.22535211267603,9.309859154929578
15,2,152,TORREFIEL,70,31,39,67.23809523809524,211.82857142857142,27.228571428571453,5.028571428571429
10,3,103,MALILLA,68,45,23,99.12068965517241,188.5,20,11.5
13,1,131,L'ILLA PERDUDA,64,32,32,80.17647058823529,154.390625,30.4375,8.484375
13,5,135,LA CARRASCA,62,36,22,118.06122448979593,159.70967741935482,27.43548387096776,8.03225806451613
19,4,194,EL SALER,61,56,5,791.881355932203,258.5901639344262,23.262295081967217,6.672131147540984
15,1,151,ELS ORRIOLS,58,29,29,73.75925925925927,202.82758620689657,18.86206896551724,8
5,4,054,TORMOS,56,36,20,84.82,182.25,34.41071428571427,9.160714285714286
9,2,092,L'HORT DE SENABRE,56,17,39,103.0204081632653,193.07142857142858,50.928571428571445,5.696428571428573
4,2,042,LES TENDETES,52,31,21,81.2127659574468,201.8846153846154,48.65384615384614,6.846153846153846
12,4,124,CAMI FONDO,51,29,22,540.0465116279072,162.33333333333334,48.90196078431374,6.313725490196079
2,2,022,EL PLA DEL REMEI,50,31,19,194.20408163265307,214.6,73.06000000000004,8.379999999999999
5,1,051,MARXALENES,49,31,17,83.80952380952381,147.6122448979592,45.26530612244901,3.632653061224491
5,3,053,TRINITAT,46,34,12,100.6046511627907,185.69565217391306,31.391304347826082,25.8695652173913
